title,genre,year,rating,votes,director
Inception,Sci-Fi,2010,8.8,2200000,Christopher Nolan
The Dark Knight,Action,2008,9,2700000,Christopher Nolan
Interstellar,Sci-Fi,2014,8.7,2000000,Christopher Nolan
Parasite,Drama,2019,8.5,900000,Bong Joon-ho
The Shawshank Redemption,Drama,1994,9.3,2700000,Frank Darabont
Pulp Fiction,Crime,1994,8.9,2100000,Quentin Tarantino
Fight Club,Drama,1999,8.8,2200000,David Fincher
Forrest Gump,Drama,1994,8.8,2100000,Robert Zemeckis
The Matrix,Sci-Fi,1999,8.7,1900000,Lana Wachowski
Gladiator,Action,2000,8.5,1500000,Ridley Scott
Titanic,Romance,1997,7.9,1200000,James Cameron
Avengers: Endgame,Action,2019,8.4,1200000,Anthony Russo
Joker,Drama,2019,8.4,1500000,Todd Phillips
The Lion King,Animation,1994,8.5,1000000,Roger Allers
Toy Story,Animation,1995,8.3,1000000,John Lasseter
Whiplash,Drama,2014,8.5,900000,Damien Chazelle
The Prestige,Mystery,2006,8.5,1400000,Christopher Nolan
Goodfellas,Crime,1990,8.7,1200000,Martin Scorsese
Se7en,Crime,1995,8.6,1700000,David Fincher
The Godfather,Crime,1972,9.2,1900000,Francis Ford Coppola
Coco,Animation,2017,8.4,450000,Lee Unkrich
Spider-Man: Into the Spider-Verse,Animation,2018,8.4,600000,Bob Persichetti
Inside Out,Animation,2015,8.1,750000,Pete Docter
La La Land,Romance,2016,8,700000,Damien Chazelle
The Social Network,Drama,2010,7.7,650000,David Fincher
Shutter Island,Mystery,2010,8.2,1300000,Martin Scorsese
Django Unchained,Drama,2012,8.4,1600000,Quentin Tarantino
The Wolf of Wall Street,Drama,2013,8.2,1500000,Martin Scorsese
Get Out,Horror,2017,7.7,700000,Jordan Peele
A Quiet Place,Horror,2018,7.5,400000,John Krasinski
